IDAlbum,IDArtista
510,415
511,421
512,453
513,462
514,450
515,463
516,414
517,422
518,416
519,418
520,426
521,418
522,430
523,433
524,430
525,431
526,448
527,436
528,454
529,412
530,422
532,437
533,416
534,418
535,443
537,442
538,419
539,426
540,438
542,419
543,440
545,448
546,422
547,429
548,460
549,441
550,428
553,412
554,454
555,448
556,427
557,423
558,435
559,444
560,419
561,455
562,451
564,446
565,456
566,434
567,459
568,460
569,449
570,452
571,439
572,411
573,422
574,413
575,440
576,447
577,425
579,464
580,448
581,412
582,454
583,461
584,459
585,445
586,419
587,425
588,420
589,448
590,417
591,458
592,448
593,448
596,448
597,457
598,416
599,424
600,432
