IDPremios,IDArtista
679,412
645,412
679,412
642,412
683,412
681,412
678,412
679,412
683,412
645,412
642,412
645,412
651,416
686,416
681,416
680,416
651,416
678,417
683,417
683,418
687,418
683,419
651,419
653,419
678,419
679,419
649,419
676,421
678,422
663,422
683,422
683,422
678,423
644,423
625,423
679,423
685,424
642,425
645,425
645,425
683,425
656,426
654,426
655,426
685,428
600,429
678,429
644,429
644,411
663,430
678,430
678,435
678,438
686,438
654,438
642,441
678,442
679,442
619,442
617,442
676,443
678,443
683,443
683,444
678,444
645,444
