IDCancion,IDAutor
710,321
711,332
712,340
713,312
714,312
715,329
716,373
717,325
718,338
719,327
720,317
721,356
722,317
723,328
724,337
725,328
726,352
727,313
728,319
729,368
730,314
731,338
733,355
734,327
735,348
736,336
737,372
738,335
739,323
740,344
741,315
742,314
743,375
744,345
745,314
746,349
747,331
748,374
749,363
750,316
751,363
753,330
754,314
755,345
756,313
757,363
758,351
759,311
760,342
761,323
762,339
763,365
764,330
765,326
766,354
767,360
768,358
769,363
770,364
771,366
772,371
773,334
774,324
775,367
776,353
777,361
778,320
779,363
780,322
781,370
782,314
783,318
784,369
785,350
786,362
787,333
788,359
789,316
790,313
791,346
792,316
793,313
794,313
795,313
796,313
797,313
798,357
799,319
800,343
801,370
