IDGenero,IDAlbum
218,510
212,511
218,512
223,513
218,514
218,515
218,516
223,517
220,518
220,519
221,520
221,521
223,522
210,523
223,524
218,525
218,526
218,527
218,528
218,529
223,530
218,532
218,533
218,534
218,535
211,537
218,538
221,539
221,540
218,542
218,543
218,545
210,546
210,547
218,548
218,549
210,550
218,553
218,554
218,555
217,556
213,557
224,558
218,559
218,560
218,561
218,562
221,564
218,565
214,566
218,567
218,568
218,569
218,570
220,571
218,572
210,573
218,574
218,575
218,576
218,577
215,579
218,580
218,581
218,582
210,583
218,584
219,585
218,586
218,587
219,588
218,589
210,590
219,591
218,592
218,593
218,596
222,597
218,598
218,599
218,600
