,album
0,Millennium
1,Believe
2,Ricky Martin
3,All That You Can't Leave Behind
4,All That You Can't Leave Behind
5,Lady Marmalade
6,Be Not Nobody
7,Let Go
8,A Rush of Blood to the Head
9,Dangerously In Love
10,Elephunk
11,SHADYXV
12,Let's Get It Started
13,American Idiot
14,The Reason (15th Anniversary Deluxe)
15,Boulevard of Broken Dreams
16,Love Angel Music Baby
17,Songs About Jane: 10th Anniversary Edition
18,Back to Bedlam
19,Good Girl Gone Bad: Reloaded
20,19
21,Viva La Vida or Death and All His Friends
22,Spirit
23,We Sing. We Dance. We Steal Things.
24,I AM...SASHA FIERCE
25,THE E.N.D. (THE ENERGY NEVER DIES) [International Version]
26,The Fame
27,I AM...SASHA FIERCE
28,Need You Now
29,B.o.B Presents: The Adventures of Bobby Ray
30,Recovery
31,The Blueprint 3
32,21
33,Doo-Wops & Hooligans
34,Katy Perry - Teenage Dream: The Complete Confection
35,21
36,Singles
37,Mylo Xyloto
38,Making Mirrors
39,Red (Big Machine Radio Release Special)
40,Stronger (Deluxe Version)
41,Some Nights
42,Kiss (Deluxe)
43,Katy Perry - Teenage Dream: The Complete Confection
44,21
45,Talk That Talk
46,Overexposed
47,Ceremonials
48,Random Access Memories
49,Night Visions (Deluxe)
50,Pure Heroine
51,Unorthodox Jukebox
52,Blurred Lines (Deluxe)
53,The Truth About Love
54,PRISM (Deluxe)
55,The Heist
56,In The Lonely Hour
57,The New Classic (Deluxe Version)
58,1000 Forms Of Fear
59,1989 (Deluxe)
60,Title (Deluxe)
61,G I R L
62,Love In The Future (Expanded Edition)
63,Is There Anybody Out There?
64,Ghost Stories
65,Sweet Talker (Deluxe Version)
66,PRISM (Deluxe)
67,Uptown Special
68,x (Deluxe Edition)
69,1989 (Deluxe)
70,See You Again (feat. Charlie Puth)
71,V
72,25
73,ANTI (Deluxe)
74,Blurryface
75,Cheap Thrills (feat. Sean Paul)
76,Despacito Feat. Justin Bieber (Remix)
77,24K Magic
78,÷ (Deluxe)
79,Camila
80,Red Pill Blues (Deluxe)
81,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
82,Señorita
83,Songs About Jane
84,It Won't Be Soon Before Long (International Version)
85,It Won't Be Soon Before Long (International Version)
86,Good Girl Gone Bad: Reloaded
87,Hands All Over
88,"Oral Fixation, Vol. 2 (Expanded Edition)"
89,Beautiful Liar
90,Don't Start Now
91,Fine Line
