,artista
0,Backstreet Boys
1,Cher
2,Ricky Martin
3,U2
4,U2
5,Various Artists
6,Vanessa Carlton
7,Avril Lavigne
8,Coldplay
9,Beyoncé
10,Black Eyed Peas
11,Various Artists
12,Black Eyed Peas
13,Green Day
14,Hoobastank
15,Green Day
16,Gwen Stefani
17,Maroon 5
18,James Blunt
19,Rihanna
20,Adele
21,Coldplay
22,Leona Lewis
23,Jason Mraz
24,Beyoncé
25,Black Eyed Peas
26,Lady Gaga
27,Beyoncé
28,Lady A
29,B.o.B
30,Eminem
31,JAY-Z
32,Adele
33,Bruno Mars
34,Katy Perry
35,Adele
36,Maroon 5
37,Coldplay
38,Gotye
39,Taylor Swift
40,Kelly Clarkson
41,fun.
42,Carly Rae Jepsen
43,Katy Perry
44,Adele
45,Rihanna
46,Maroon 5
47,Florence + The Machine
48,Daft Punk
49,Imagine Dragons
50,Lorde
51,Bruno Mars
52,Robin Thicke
53,P!nk
54,Katy Perry
55,Macklemore & Ryan Lewis
56,Sam Smith
57,Iggy Azalea
58,Sia
59,Taylor Swift
60,Meghan Trainor
61,Pharrell Williams
62,John Legend
63,A Great Big World
64,Coldplay
65,Jessie J
66,Katy Perry
67,Mark Ronson
68,Ed Sheeran
69,Taylor Swift
70,Wiz Khalifa
71,Maroon 5
72,Adele
73,Rihanna
74,Twenty One Pilots
75,Sia
76,Luis Fonsi
77,Bruno Mars
78,Ed Sheeran
79,Camila Cabello
80,Maroon 5
81,Billie Eilish
82,Shawn Mendes
83,Maroon 5
84,Maroon 5
85,Maroon 5
86,Rihanna
87,Maroon 5
88,Shakira
89,Beyoncé
90,Dua Lipa
91,Harry Styles
