IDAutor,Nombre
311,A. Grant
312,Adam Clayton
313,Adam Levine
314,Adele Adkins
315,Alexander Shuckburgh
316,Ali Tamposi
317,Allan Pineda
318,Allen Ritter
319,Amanda Ghost
320,Amy Wadge
321,Andreas Carlsson
322,Andrew Cedar
323,Ari Levine
324,Avicii
325,Avril Lavigne
326,B. Haggerty
327,Beyoncé
328,Billie Joe Armstrong
329,Bob Crewe
330,Bonnie McKee
331,Brian Eno
332,Brian Higgins
333,Bruno Mars
334,Chad Vaccarino
335,Charles Kelley
336,Charlotte Thersen
337,Chris Hesse
338,Chris Martin
339,Clifford Joseph Harris Jr
340,Desmond Child
341,Ed Sheeran
342,Ella Yelich O'Connor
343,Emily Warren
344,Eminem
345,Ester Dean
346,Finneas O'Connell
347,Florence Welch
348,Fred Rister
349,Giorgio Tuinfort
350,Greg Kurstin
351,Guy-Manuel de Homem-Christo
352,Gwen Stefani
353,Henry Walter
354,James Napier
355,Jason Mraz
356,Jeff Bass
357,Jerry Duplessis
358,Jesse Shatkin
359,Johnny McDald
360,Kurtis McKenzie
361,Mark Ronson
362,Marty James Garton Jr
363,Max Martin
364,Meghan Trainor
365,Nate Ruess
366,Pharrell Williams
367,Savan Kotecha
368,Shawn Carter
369,T. Joseph
370,Thomas Hull
371,Toby Gad
372,Tricky
373,Vanessa Carlton
374,Wally de Backer
