IDDisquera,Nombre
111,A&M Records
112,Aftermath Entertainment
113,Arista
114,Atlantic
115,Big Machine Records
116,Black Magnetic
117,Capitol
118,Capitol Records Nashville
119,Columbia
120,Def Jam Recordings
121,Eleven
122,Epic
123,Fueled by Ramen
124,Interscope Records
125,Island Records
126,Jive
127,Kobalt Music
128,Lava
129,Parlophone
130,RCA
131,Roc Nation
132,The Neptunes
133,Universal Island Records
134,Universal Music
135,Universal-Island Records
136,Warner Bros
137,XL
